vehicle reg no,trip id,route description,mapper,company,date mapped,start coordinate,end coordinate,distance,start time,travel time,revenue,on/off discrepancy,fares,number of stops,total passengers,gps loss (km),city,route_id,direction,origin,destination,interval,travel_time_min,speed,hour,peak period
RP216,30512820,MAS010_F_Maseru Town Center_Main North 1,Nthabeleng  Fosa,Maseru_Association_Test,2020-12-09,"27.500418, -29.311529","27.502100, -29.314457",0.37,10:28:16,0:03,8.0,0,8,3,1,0.0,Maseru,MAS010,F,Maseru Town Center,Main North 1,2021-01-08 10:30:00,3,7.4,10,peak
RY137,30512992,MAS011_R_Maseru Town Center_Main South 1,Thato Sekeleme,Maseru_Association_Test,2020-12-09,"27.510675, -29.356052","27.513577, -29.366142",2.07,10:25:10,0:07,40.0,0,8,4,5,0.0,Maseru,MAS011,R,Maseru Town Center,Main South 1,2021-01-08 10:30:00,7,17.742857142857144,10,peak
A5409,30513421,MAS012_F_Maseru Town Center_Thetsane,Lebohang Sehloho,Maseru_Association_Test,2020-12-09,"27.452303, -29.350613","27.494911, -29.316179",9.74,10:02:51,0:29,24.0,0,8,7,3,0.0,Maseru,MAS012,F,Maseru Town Center,Thetsane,2021-01-08 10:00:00,29,20.151724137931037,10,peak
G43BBC,30513511,MAS005_F_Maseru Town Center_Abia,limpho khoabane,Maseru_Association_Test,2020-12-09,"27.527090, -29.389433","27.528978, -29.383713",1.14,10:21:51,0:07,67.5,9,7.5,5,9,0.0,Maseru,MAS005,F,Maseru Town Center,Abia,2021-01-08 10:15:00,7,9.77142857142857,10,peak
A32BBC,30514112,MAS005_F_Maseru Town Center_Abia,Mathato Molise,Maseru_Association_Test,2020-12-09,"27.511839, -29.364525","27.493605, -29.312559",15.38,9:56:44,0:37,24.0,0,8,6,3,0.0,Maseru,MAS005,F,Maseru Town Center,Abia,2021-01-08 10:00:00,37,24.940540540540542,9,peak
C9253,30514448,MAS005_R_Maseru Town Center_Abia,Moikabi  Moemane,Maseru_Association_Test,2020-12-09,"27.531128, -29.376640","27.488165, -29.315596",9.31,10:07:40,0:27,60.0,0,7.5,10,8,0.0,Maseru,MAS005,R,Maseru Town Center,Abia,2021-01-08 10:15:00,27,20.68888888888889,10,peak
G6499,30515034,MAS005_F_Maseru Town Center_Abia,Momojela  Bokhatse,Maseru_Association_Test,2020-12-09,"27.493692, -29.315926","27.519268, -29.394739",11.94,9:53:59,0:45,150.0,0,"7.50, 22.50, 15.00",18,12,0.0,Maseru,MAS005,F,Maseru Town Center,Abia,2021-01-08 10:00:00,45,15.919999999999998,9,peak
A5647,30515575,MAS012_R_Maseru Town Center_Thetsane,Tseliso Tjootji,Maseru_Association_Test,2020-12-09,"27.511467, -29.395863","27.489065, -29.315359",14.78,10:00:14,0:38,32.0,0,8,6,4,1.26,Maseru,MAS012,R,Maseru Town Center,Thetsane,2021-01-08 10:00:00,38,23.336842105263155,10,peak
A756BBG,30515803,MAS008_F_Maseru Town Center_Leqele,Kekeletso  Masiu,Maseru_Association_Test,2020-12-09,"27.487925, -29.315199","27.488110, -29.316177",18.01,9:52:02,0:49,40.0,0,8,9,5,12.29,Maseru,MAS008,F,Maseru Town Center,Leqele,2021-01-08 09:45:00,49,22.0530612244898,9,peak
DK313,30515859,MAS001_F_Maseru Town Center_Khubetsoana,Sthembile Pinda,Maseru_Association_Test,2020-12-09,"27.545300, -29.281147","27.537155, -29.276087",1.11,10:41:22,0:01,32.0,4,8,3,4,0.0,Maseru,MAS001,F,Maseru Town Center,Khubetsoana,2021-01-08 10:45:00,1,66.60000000000001,10,peak
